input	workers	instances	passes	median_ms_per_output	min_ms	max_ms	all_replicates_ms
multi	1	1	6	2.047554	2.045246	2.072360	[2.07236, 2.046653, 2.055286, 2.047554, 2.045246]
multi	2	1	5	2.965629	2.934874	2.996334	[2.934874, 2.944862, 2.965629, 2.996334, 2.996172]
multi	4	1	4	2.765408	2.686630	2.846862	[2.68663, 2.704659, 2.780672, 2.765408, 2.846862]
multi	8	1	5	2.857250	2.809869	3.226055	[2.817821, 2.85725, 2.809869, 3.226055, 3.093101]
multi	16	1	4	3.395669	3.329852	3.442249	[3.412152, 3.381311, 3.395669, 3.329852, 3.442249]
multi	24	1	4	3.495797	3.363385	3.556825	[3.4178, 3.495797, 3.556825, 3.363385, 3.509437]
multi	1	2	6	1.038268	1.037341	1.043512	[1.041612, 1.037341, 1.038222, 1.038268, 1.043512]
multi	1	4	6	0.555847	0.543360	0.570326	[0.550464, 0.555847, 0.570326, 0.54336, 0.563027]
multi	1	8	6	0.288972	0.283496	0.301284	[0.288972, 0.295572, 0.284054, 0.283496, 0.301284]
multi	2	4	4	0.890304	0.841616	0.942004	[0.841616, 0.878748, 0.930365, 0.890304, 0.942004]
multi	4	4	4	0.888713	0.868109	0.945344	[0.868109, 0.88698, 0.888713, 0.922769, 0.945344]
multi	8	4	4	0.798541	0.763709	0.868115	[0.763709, 0.771841, 0.868115, 0.798541, 0.836095]
tiled_first	1	1	70	4.062747	4.055889	4.095753	[4.095753, 4.070891, 4.062747, 4.056891, 4.055889]
tiled_first	2	1	82	2.876512	2.869258	2.920310	[2.874092, 2.876512, 2.916716, 2.92031, 2.869258]
tiled_first	4	1	123	1.854606	1.796692	1.894284	[1.854606, 1.796692, 1.835801, 1.856301, 1.894284]
tiled_first	8	1	125	1.998615	1.984049	2.039889	[2.000717, 1.998615, 1.984049, 1.98652, 2.039889]
tiled_first	16	1	121	2.244561	2.161665	2.329863	[2.161665, 2.244561, 2.329863, 2.221552, 2.316168]
tiled_first	24	1	149	2.345655	2.315454	2.382901	[2.328109, 2.382901, 2.315454, 2.356719, 2.345655]
tiled_first	1	2	71	2.050380	2.046825	2.127781	[2.127781, 2.046825, 2.05038, 2.057885, 2.049962]
tiled_first	1	4	69	1.039923	1.037360	1.044785	[1.03736, 1.044785, 1.037674, 1.039923, 1.04311]
tiled_first	1	8	61	0.542675	0.528864	0.562069	[0.528864, 0.546512, 0.542675, 0.531341, 0.562069]
tiled_first	2	4	91	0.826954	0.813706	0.833943	[0.813706, 0.83359, 0.826954, 0.833943, 0.8249]
tiled_first	4	4	104	0.647494	0.645814	0.650910	[0.645814, 0.649935, 0.65091, 0.646573, 0.647494]
tiled_first	8	4	106	0.609862	0.591079	0.616466	[0.616466, 0.610248, 0.591079, 0.609862, 0.597396]
tiled_stress	1	1	23	12.925165	12.882792	13.049251	[13.049251, 12.940069, 12.882792, 12.9035, 12.925165]
tiled_stress	2	1	29	9.963669	9.917618	10.021998	[9.96845, 10.021998, 9.937456, 9.917618, 9.963669]
tiled_stress	4	1	50	5.416770	5.395249	5.535632	[5.41677, 5.490579, 5.40065, 5.395249, 5.535632]
tiled_stress	8	1	73	3.560994	3.441495	3.734204	[3.560994, 3.579201, 3.441495, 3.465832, 3.734204]
tiled_stress	16	1	82	3.283680	3.264038	3.380521	[3.28368, 3.278884, 3.380521, 3.376013, 3.264038]
tiled_stress	24	1	72	3.351488	3.334804	3.431841	[3.368013, 3.431841, 3.334804, 3.351488, 3.34712]
tiled_stress	1	2	22	6.510167	6.485528	6.704466	[6.529341, 6.510167, 6.508719, 6.485528, 6.704466]
tiled_stress	1	4	19	3.298427	3.289274	3.341485	[3.289274, 3.298427, 3.341485, 3.304664, 3.296153]
tiled_stress	1	8	21	1.705682	1.679475	1.782081	[1.782081, 1.680373, 1.679475, 1.71074, 1.705682]
tiled_stress	2	4	21	2.836153	2.736421	2.872817	[2.872817, 2.736421, 2.743141, 2.864771, 2.836153]
tiled_stress	4	4	35	1.978214	1.971768	2.009203	[2.004706, 1.977843, 1.978214, 2.009203, 1.971768]
tiled_stress	8	4	33	1.790172	1.776268	1.850698	[1.790172, 1.81162, 1.776268, 1.850698, 1.783701]
single_10b	1	1	143	1.753324	1.748330	1.772966	[1.772966, 1.758138, 1.753324, 1.74833, 1.749351]
single_10b	2	1	185	1.596514	1.577747	1.612440	[1.61244, 1.577747, 1.586215, 1.596514, 1.602705]
single_10b	4	1	184	1.607528	1.595299	1.629316	[1.629316, 1.607528, 1.595299, 1.615926, 1.596021]
single_10b	8	1	143	1.598136	1.589887	1.626530	[1.62653, 1.598136, 1.591682, 1.589887, 1.617422]
single_10b	16	1	166	1.685251	1.645915	1.821564	[1.821564, 1.685251, 1.699283, 1.645915, 1.664246]
single_10b	24	1	138	1.679577	1.622943	1.889769	[1.880414, 1.889769, 1.679577, 1.661836, 1.622943]
single_10b	1	2	146	0.924148	0.890671	1.003281	[0.898422, 0.890671, 1.003281, 0.924148, 0.96066]
single_10b	1	4	153	0.514780	0.473858	0.566397	[0.473858, 0.566397, 0.538551, 0.488376, 0.51478]
single_10b	1	8	99	0.248940	0.245202	0.413273	[0.245202, 0.24894, 0.246941, 0.285516, 0.413273]
single_10b	2	4	110	0.448550	0.441392	0.478668	[0.44855, 0.468438, 0.478668, 0.444131, 0.441392]
single_10b	4	4	114	0.754587	0.545073	0.785114	[0.759251, 0.556221, 0.545073, 0.754587, 0.785114]
single_10b	8	4	61	0.593464	0.466634	0.762696	[0.762696, 0.593464, 0.539265, 0.60906, 0.466634]
